ATOM,AD2,1.5,0
RESIDUE,ATOM,GLX,9
ATOM,N,1.65,1
ATOM,CA,1.87,0
ATOM,C,1.76,0
ATOM,O,1.4,1
ATOM,CB,1.87,0
ATOM,CG,1.76,0
ATOM,CD,1.87,0
ATOM,AE1,1.5,0
ATOM,AE2,1.5,0
RESIDUE,ATOM,ACE,3
ATOM,C,1.76,0
ATOM,O,1.4,1
ATOM,CH3,1.87,0
RESIDUE,NUCL,A,21
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N9,1.6,1
ATOM,C8,1.8,0
ATOM,N7,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
ATOM,N6,1.6,1
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,N3,1.6,1
ATOM,C4,1.8,0
RESIDUE,NUCL,C,19
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,O2,1.4,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
ATOM,N4,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
RESIDUE,NUCL,G,22
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N9,1.6,1
ATOM,C8,1.8,0
ATOM,N7,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
ATOM,O6,1.4,1
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,N2,1.6,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
RESIDUE,NUCL,T,20
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,O2,1.4,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
ATOM,O4,1.4,1
ATOM,C5,1.8,0
ATOM,C5M,1.8,0
ATOM,C7,1.8,0
ATOM,C6,1.8,0
RESIDUE,NUCL,DA,21
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N9,1.6,1
ATOM,C8,1.8,0
ATOM,N7,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
ATOM,N6,1.6,1
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,N3,1.6,1
ATOM,C4,1.8,0
RESIDUE,NUCL,DC,19
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,O2,1.4,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
ATOM,N4,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
RESIDUE,NUCL,DG,22
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N9,1.6,1
ATOM,C8,1.8,0
ATOM,N7,1.6,1
ATOM,C5,1.8,0
ATOM,C6,1.8,0
ATOM,O6,1.4,1
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,N2,1.6,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
RESIDUE,NUCL,DT,20
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,C1',1.8,0
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,O2,1.4,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
ATOM,O4,1.4,1
ATOM,C5,1.8,0
ATOM,C5M,1.8,0
ATOM,C7,1.8,0
ATOM,C6,1.8,0
RESIDUE,NUCL,U,20
ATOM,P,1.9,0
ATOM,OP1,1.4,1
ATOM,OP2,1.4,1
ATOM,O5',1.4,1
ATOM,C5',1.8,0
ATOM,C4',1.8,0
ATOM,O4',1.4,1
ATOM,C3',1.8,0
ATOM,O3',1.4,1
ATOM,C2',1.8,0
ATOM,O2',1.4,1
ATOM,C1',1.8,0
ATOM,N1,1.6,1
ATOM,C2,1.8,0
ATOM,O2,1.4,1
ATOM,N3,1.6,1
ATOM,C4,1.8,0
ATOM,O4,1.4,1
ATOM,C5,1.8,0
